set P := 
1
2
3
4
5
6
7
8
9
10;

set C :=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50;

param k :=
1	1653
2	4869
3	2862
4	2494
5	2275
6	4154
7	2440
8	4132
9	3358
10	3811;

param c :=
1	70
2	10
3	60
4	42
5	45
6	18
7	40
8	27
9	45
10	32;

param max :=
1	11
2	11
3	6
4	9
5	11
6	8
7	11
8	9
9	8
10	8;

param xcor :=
1	59
2	97
3	91
4	73
5	35
6	86
7	21
8	69
9	65
10	66
11	1
12	80
13	5
14	14
15	55
16	26
17	8
18	78
19	70
20	46
21	30
22	57
23	74
24	36
25	92
26	35
27	98
28	52
29	32
30	36
31	40
32	11
33	67
34	96
35	50
36	57
37	32
38	68
39	72
40	70
41	13
42	19
43	63
44	4
45	30
46	69
47	70
48	68
49	26
50	28;

param ycor :=
1	62
2	70
3	88
4	56
5	34
6	17
7	12
8	1
9	72
10	74
11	51
12	71
13	20
14	44
15	17
16	20
17	100
18	30
19	75
20	28
21	42
22	44
23	21
24	19
25	17
26	9
27	22
28	27
29	7
30	7
31	82
32	33
33	70
34	77
35	28
36	20
37	69
38	67
39	26
40	98
41	22
42	53
43	80
44	52
45	83
46	6
47	83
48	85
49	69
50	98;

param r := 20;
